Андерсен Ганс Христиан
Аверченко Аркадий
Азимов Айзек
Афанасьева Ольга
Александрова Наталья
Арсеньева Елена
Андреев Леонид
автор Неустановленный
Андерсон Пол
Ахматова Анна
Астафьев Виктор
Абрамов Фёдор
Афанасьев Александр
Абдуллаев Чингиз
Акулич Маргарита
Брэдбери Рэй
Бунин Иван Алексеевич
Булычёв Кир Всеволодович
Барто Агния
Быков Дмитрий
Бальзак Оноре де
Булгаков Михаил Афанасьевич
Белинский Виссарион
Без Автора
Блок Александр
Бианки Виталий
Баранова Ксения
Борхес Хорхе Луис
Бондарев Юрий
Беляев Александр
Вирджиния Эванс
Верн Жюль
Вудхаус Пэлем Грэнвил
Воронин Андрей Николаевич
Веллер Михаил
Воннегут Курт
Васильев Владимир
Высоцкий Владимир
Волошин Максимилиан
Вебб Холли
Вяземский Петр
Володихин Дмитрий
Высоцкий Иван
Волков Александр Мелентьевич
Вильмонт Екатерина
Горький Максим
Генри О.
Герун Владимир
Гарднер Эрл Стенли
Гримм Братья
Гоголь Николай Васильевич
Грин Александр
Гиппиус Зинаида
Говард Роберт Ирвин
Головачёв Василий
Гейман Нил
Гессе Герман
Гуин Урсула Ле
Голсуорси Джон
Гофман Эрнст Теодор Амадей
Дойл Артур Конан
Достоевский Фёдор Михайлович
Дули Дженни
Дюма Александр
Донцова Дарья Аркадьевна
Диккенс Чарльз Джон Хаффем
Дмитриева Валентина
Демпси Генри Максвелл
Дик Филип
Джером Джером К.
Драгунский Виктор Юзефович
Дорошевич Влас
Даль Владимир
Дружинина Марина
Даль Роальд
Есенин Сергей
Емец Дмитрий
Евтушенко Евгений
Ефремов Иван Антонович
Егораева Галина
Ефросинина Любовь
Еникеева Диля
Екимов Борис
Ерофеев Виктор
Ерохина Елена
Емельянов Александр
Елисеева Ольга
Ефетов Константин
Ермакович Дарья Ивановна
Егоров Андрей
Желязны Роджер Джозеф
Жуковский Василий
Житков Борис
Жукова О. С.
Житинский Александр
Жиглов В. И.
Жұмабаев Мағжан
Жилинская А.
Жукова-Гладкова Мария
Жванецкий Михаил
Жадан Сергей
Железников Владимир
Жукова Мария
Жданович Юрий Михайлович
Жуков Владимир
Зощенко Михаил
Зверев Сергей
Заходер Борис
Золя Эмиль
Златоуст Иоанн
Земцова О. Н.
Злотников Роман Валерьевич
Зосимов Премудрословски СтаВл
Зуду Виктор
Задорнов Михаил
Замятин Евгений
Звёздная Елена
Зеланд Вадим
Заболоцкий Николай
Зайцев Борис
Иванов Сергей
Игнатков Николай Викторович
Искандер Фазиль
Иманова Нина
Ильин Иван
Ирвинг Вашингтон
Иванов Владимир
Иванович Юрий
Иванова Наталья
Иванов Федор Федорович
Исаев Алексей
Иванов Альберт
Ильф Илья
Ибаньес Висенте Бласко
Истомина Наталья
Йейтс Уильям Батлер
Йог Рамачарака
Йост Кристофер
Йолен Джейн
Йенсен Йоханнес Вильгельм
Йогананда Парамаханса
Йейтс Ричард
Йорк Андреа
Йогансен Майк
Йокаи Мор
Йоганидес Ян
Йонассон Рагнар
Йенсен Брэнт
Йонг Эрика
Йерби Фрэнк
Коллектив авторов
Кристи Агата
Куприн Александр
Кинг Стивен
Киплинг Редьярд
Картленд Барбара
Каледин Сергей
Крапивин Владислав Петрович
Колычев Владимир
Крылов Иван
Кафка Франц
Калинина Дарья
Козлов Сергей
Кириллов Виталий Александрович
Киркман Роберт
Лермонтов Михаил Юрьевич
Леонов Николай
Лесков Николай Семенович
Лавкрафт Говард Филлипс
Лем Станислав
Лукьяненко Сергей Васильевич
Ленин Владимир
Линдгрен Астрид
Логинов Святослав
Логик Солоинк
Лукин Евгений
Ламур Луис
Луганцева Татьяна
Лекомцев Александр
Ливадный Андрей
Маршак Самуил Яковлевич
Мамиков В.
Мопассан Ги де
Михалков Сергей
Мельников Илья
Михеева Ирина
Маяковский Владимир
Матвеев С. А.
Моэм Сомерсет
Мамин-Сибиряк Дмитрий
Мельников Валерий
Макеев Алексей Викторович
Мартин Джордж Рэймонд Ричард
Мушкин Виталий
Макбейн Эд
Нефедова Елена
Нет автора
Наталия Правдина
Набоков Владимир Владимирович
Невзоров Александр
Нортон Андрэ
Некрасов Николай Алексеевич
Незнанский Фридрих
Носов Николай Николаевич
Непомнящий Николай
Нигро Дон
Ницше Фридрих
Нагибин Юрий
Номейн Алексей
Никитин Юрий
Олива Моралес Татьяна
Остер Григорий
Олди Генри Лайон
Одоевский Владимир
Островский Александр Николаевич
Орлов Владимир
Осеева Валентина
Олие Ольга
Остин Джейн
Окуджава Булат
Орлова Анастасия
Окунь Михаил
Ольховская Влада
Орловский Гай Юлий
Оутс Джойс Кэрол
Пушкин Александр Сергеевич
Пирс Блейк
По Эдгар Аллан
Пикуль Валентин
Паустовский Константин
Петрушевская Людмила
Перро Шарль
Платонов Андрей
Пришвин Михаил Михайлович
Пратчетт Терри Дэвид Джон
Проханов Александр
Прокофьева Софья
Плешаков Андрей
Полякова Татьяна
Патрацкая Наталья
Райс Морган
Раззаков Федор
Рой Олег
Робертс Нора
Родари Джанни
Рид Майн
Рубина Дина
Ремарк Эрих Мария
Рудницкая Виктория
Радзинский Эдвард
Розанов Василий
Рыбаков Вячеслав
Распутин Валентин
Рослова Л. О.
Романова Галина Владимировна
Сборник стихов
Серова Марина
Степанова Наталья
Соловьев Денис Юрьевич
Сименон Жорж
Стивенсон Роберт Льюис
Стаут Рекс
Стайн Роберт
Солженицын Александр
Саймак Клиффорд Дональд
Стругацкие 
Салтыков-Щедрин Михаил
Степанов Владимир
Сологуб Федор
Сутеев Владимир
Толстой Лев Николаевич
Тихомиров Андрей
Тургенев Иван Сергеевич
Твен Марк
Толстой Алексей Николаевич
Тамоников Александр Александрович
Тэффи Надежда
Таранов А.
Токарев Владимир
Толкин Джон Рональд Руэл
творчество Народное
Тютчев Федор
Токарева Виктория
Тиханов Сергей Ефимович
Токмакова Ирина
Узорова Ольга
Успенский Эдуард
Усачёв Андрей
Ульева Елена
Уайльд Оскар
Уэллс Герберт
Уиллингхэм Билл
Ушинский Константин
Улин Виктор
Успенский Глеб
Устинова Татьяна Витальевна
Усманов Хайдарали
Ушакова О.Д.
Улицкая Людмила
Усачева Елена
Фрай Макс
Фрейд Зигмунд
Фицджеральд Фрэнсис Скотт
Флейшер Г. М.
Фет Афанасий
Фолкнер Уильям
Филатов Леонид
Фрэнсис Дик
Франс Анатоль
Фармер Филип Хосе
Федотов Евгений
Фостер Алан Дин
Фёдоров Николай
Фейхтвангер Лион
Фрэкшн Мэтт
Хемингуэй Эрнест
Хайнлайн Роберт
Хармс Даниил
Хаггард Генри Райдер
Хантер Эрин
Ходасевич Владислав
Хмелевская Иоанна
Хейер Джорджетт
Холт Виктория
Хаецкая Елена
Хайям Омар
Хайдеггер Мартин
Хадзимэ Исаяма
Харди Томас
Хэммет Дэшил
Цветаева Марина
Цвейг Стефан
Цыпкин Александр
Цыферов Геннадий
Циолковский Константин
Цыбулько Ирина
Цзю Игорь Николаевич
Цицерон Марк Туллий
Цветкова Татьяна
Цветкова Татьяна Константиновна
Цыпленкова Юлия
Цветков Сергей
Цветкова Н.
Цветков Алексей
Цутому Сато
Чехов Антон Павлович
Чейни Джон Гриффит
Чуковский Корней
Чейз Джеймс Хедли
Честертон Гилберт Кит
Чарская Лидия
Чапек Карел
Черный Саша
Чандлер Рэймонд Торнтон
Чуракова Роза
Чайлд Ли
Чиркова Вера
Чопра Дипак
Черчилль Уинстон
Чарушин Евгений
Шекли Роберт
Шекспир Уильям
Шабрин Борис
Шиповских Игорь
Шукшин Василий
Шмелёв Иван
Шилова Юлия
Шаламов Варлам
Широкорад Александр
